"","Location","Date","Nesting","FalseCrawls","Total","state"
"1747","Bald Head Island","6/2/2015",0,2,2,"NC"
"1748","Cape Hatteras NS","6/2/2015",2,0,2,"NC"
"1749","Cape Lookout NS","6/2/2015",3,3,6,"NC"
"1750","Caswell Beach","6/2/2015",2,1,3,"NC"
"1751","Figure 8 Island","6/2/2015",0,1,1,"NC"
"1752","Fort Fisher SRA","6/2/2015",2,3,5,"NC"
"1753","Holden Beach","6/2/2015",1,0,1,"NC"
"1754","Kure Beach","6/2/2015",1,0,1,"NC"
"1755","Oak Island","6/2/2015",0,2,2,"NC"
"1756","Topsail Island","6/2/2015",1,0,1,"NC"
"1757","Bald Head Island","6/2/2016",1,1,2,"NC"
"1758","Cape Hatteras NS","6/2/2016",2,9,11,"NC"
"1759","Cape Lookout NS","6/2/2016",1,0,1,"NC"
"1760","Caswell Beach","6/2/2016",1,0,1,"NC"
"1761","Fort Fisher SRA","6/2/2016",1,0,1,"NC"
"1762","Oak Island","6/2/2016",3,0,3,"NC"
"1763","Onslow Beach","6/2/2016",0,1,1,"NC"
"1764","Topsail Island","6/2/2016",3,0,3,"NC"
"1765","Wrightsville Beach","6/2/2016",0,1,1,"NC"
"1778","Cape Hatteras NS","6/20/2009",1,0,1,"NC"
"1779","Cape Lookout NS","6/20/2009",1,2,3,"NC"
"1780","Holden Beach","6/20/2009",1,0,1,"NC"
"1781","Oak Island","6/20/2009",0,1,1,"NC"
"1782","Ocean Isle","6/20/2009",1,0,1,"NC"
"1783","Topsail Island","6/20/2009",1,0,1,"NC"
"1784","Bald Head Island","6/20/2010",1,1,2,"NC"
"1785","Cape Hatteras NS","6/20/2010",3,0,3,"NC"
"1786","Cape Lookout NS","6/20/2010",3,2,5,"NC"
"1787","Caswell Beach","6/20/2010",0,1,1,"NC"
"1788","Emerald Isle","6/20/2010",1,0,1,"NC"
"1789","Figure 8 Island","6/20/2010",2,1,3,"NC"
"1790","Holden Beach","6/20/2010",1,0,1,"NC"
"1791","Oak Island","6/20/2010",1,1,2,"NC"
"1792","Pea Island NWR","6/20/2010",0,2,2,"NC"
"1793","Topsail Island","6/20/2010",1,1,2,"NC"
"1794","Bald Head Island","6/20/2011",1,1,2,"NC"
"1795","Cape Hatteras NS","6/20/2011",2,1,3,"NC"
"1796","Cape Lookout NS","6/20/2011",3,1,4,"NC"
"1797","Caswell Beach","6/20/2011",0,2,2,"NC"
"1798","Emerald Isle","6/20/2011",1,1,2,"NC"
"1799","Figure 8 Island","6/20/2011",1,1,2,"NC"
"1800","Fort Fisher SRA","6/20/2011",1,1,2,"NC"
"1801","Hammocks Beach SP","6/20/2011",2,0,2,"NC"
"1802","Holden Beach","6/20/2011",1,0,1,"NC"
"1803","Kure Beach","6/20/2011",1,0,1,"NC"
"1804","Masonboro Island","6/20/2011",0,1,1,"NC"
"1805","Oak Island","6/20/2011",2,1,3,"NC"
"1806","Ocean Isle","6/20/2011",1,0,1,"NC"
"1807","Onslow Beach","6/20/2011",0,2,2,"NC"
"1808","Pea Island NWR","6/20/2011",1,0,1,"NC"
"1809","Topsail Island","6/20/2011",2,5,7,"NC"
"1810","Bald Head Island","6/20/2012",2,1,3,"NC"
"1811","Cape Hatteras NS","6/20/2012",3,2,5,"NC"
"1812","Cape Lookout NS","6/20/2012",4,0,4,"NC"
"1813","Caswell Beach","6/20/2012",0,5,5,"NC"
"1814","Fort Fisher SRA","6/20/2012",0,1,1,"NC"
"1815","Holden Beach","6/20/2012",2,0,2,"NC"
"1816","Lea-Hutaff Island","6/20/2012",0,1,1,"NC"
"1817","Masonboro Island","6/20/2012",1,0,1,"NC"
"1818","NEST (Northern Outer Banks)","6/20/2012",1,0,1,"NC"
"1819","Oak Island","6/20/2012",2,2,4,"NC"
"1820","Ocean Isle","6/20/2012",1,0,1,"NC"
"1821","Topsail Island","6/20/2012",3,1,4,"NC"
"1822","Bald Head Island","6/20/2013",1,4,5,"NC"
"1823","Cape Hatteras NS","6/20/2013",6,8,14,"NC"
"1824","Cape Lookout NS","6/20/2013",2,3,5,"NC"
"1825","Caswell Beach","6/20/2013",2,0,2,"NC"
"1826","Figure 8 Island","6/20/2013",0,1,1,"NC"
"1827","Holden Beach","6/20/2013",0,1,1,"NC"
"1828","Masonboro Island","6/20/2013",3,2,5,"NC"
"1829","NEST (Northern Outer Banks)","6/20/2013",1,0,1,"NC"
"1830","Oak Island","6/20/2013",1,0,1,"NC"
"1831","Ocean Isle","6/20/2013",1,1,2,"NC"
"1832","Onslow Beach","6/20/2013",0,5,5,"NC"
"1833","Pea Island NWR","6/20/2013",0,1,1,"NC"
"1834","Pine Knoll Shores","6/20/2013",1,2,3,"NC"
"1835","Topsail Island","6/20/2013",1,2,3,"NC"
"1836","Wrightsville Beach","6/20/2013",1,1,2,"NC"
"1837","Bald Head Island","6/20/2014",1,1,2,"NC"
"1838","Cape Hatteras NS","6/20/2014",3,2,5,"NC"
"1839","Cape Lookout NS","6/20/2014",2,4,6,"NC"
"1840","Caswell Beach","6/20/2014",1,0,1,"NC"
"1841","Fort Fisher SRA","6/20/2014",0,4,4,"NC"
"1842","Holden Beach","6/20/2014",1,0,1,"NC"
"1843","Onslow Beach","6/20/2014",1,1,2,"NC"
"1844","Pea Island NWR","6/20/2014",1,0,1,"NC"
"1845","Topsail Island","6/20/2014",1,3,4,"NC"
"1846","Bald Head Island","6/20/2015",1,3,4,"NC"
"1847","Cape Hatteras NS","6/20/2015",6,2,8,"NC"
"1848","Cape Lookout NS","6/20/2015",4,6,10,"NC"
"1849","Carolina Beach","6/20/2015",1,0,1,"NC"
"1850","Caswell Beach","6/20/2015",2,1,3,"NC"
"1851","Fort Fisher SRA","6/20/2015",0,1,1,"NC"
"1852","Holden Beach","6/20/2015",1,0,1,"NC"
"1853","Oak Island","6/20/2015",0,1,1,"NC"
"1854","Sunset Beach plus Bird Island","6/20/2015",0,1,1,"NC"
"1855","Topsail Island","6/20/2015",1,0,1,"NC"
"1856","Bald Head Island","6/20/2016",3,2,5,"NC"
"1857","Cape Hatteras NS","6/20/2016",3,3,6,"NC"
"1858","Cape Lookout NS","6/20/2016",6,9,15,"NC"
"1859","Caswell Beach","6/20/2016",3,1,4,"NC"
"1860","Emerald Isle","6/20/2016",1,0,1,"NC"
"1861","Fort Fisher SRA","6/20/2016",4,1,5,"NC"
"1862","Hammocks Beach SP","6/20/2016",1,0,1,"NC"
"1863","NEST (Northern Outer Banks)","6/20/2016",0,1,1,"NC"
"1864","Oak Island","6/20/2016",1,2,3,"NC"
"1865","Ocean Isle","6/20/2016",1,0,1,"NC"
"1866","Onslow Beach","6/20/2016",2,0,2,"NC"
"1867","Pea Island NWR","6/20/2016",0,3,3,"NC"
"1868","Pine Knoll Shores","6/20/2016",0,1,1,"NC"
"1869","Topsail Island","6/20/2016",3,3,6,"NC"
"1878","Cape Lookout NS","6/21/2009",2,3,5,"NC"
"1879","Oak Island","6/21/2009",0,1,1,"NC"
"1880","Pea Island NWR","6/21/2009",1,0,1,"NC"
"1881","Topsail Island","6/21/2009",0,2,2,"NC"
"1882","Bald Head Island","6/21/2010",3,0,3,"NC"
"1883","Cape Hatteras NS","6/21/2010",3,1,4,"NC"
"1884","Cape Lookout NS","6/21/2010",3,3,6,"NC"
"1885","Caswell Beach","6/21/2010",0,4,4,"NC"
"1886","Emerald Isle","6/21/2010",0,1,1,"NC"
"1887","Hammocks Beach SP","6/21/2010",1,0,1,"NC"
"1888","Holden Beach","6/21/2010",1,2,3,"NC"
"1889","Masonboro Island","6/21/2010",2,0,2,"NC"
"1890","Oak Island","6/21/2010",3,1,4,"NC"
"1891","Onslow Beach","6/21/2010",0,2,2,"NC"
"1892","Pea Island NWR","6/21/2010",1,2,3,"NC"
"1893","Pine Knoll Shores","6/21/2010",1,0,1,"NC"
"1894","Topsail Island","6/21/2010",5,2,7,"NC"
"1895","Bald Head Island","6/21/2011",2,1,3,"NC"
"1896","Cape Hatteras NS","6/21/2011",2,4,6,"NC"
"1897","Cape Lookout NS","6/21/2011",2,1,3,"NC"
"1898","Caswell Beach","6/21/2011",1,0,1,"NC"
"1899","Figure 8 Island","6/21/2011",1,0,1,"NC"
"1900","Fort Fisher SRA","6/21/2011",2,0,2,"NC"
"1901","Hammocks Beach SP","6/21/2011",1,0,1,"NC"
"1902","Holden Beach","6/21/2011",0,1,1,"NC"
"1903","Masonboro Island","6/21/2011",1,3,4,"NC"
"1904","Oak Island","6/21/2011",2,1,3,"NC"
"1905","Onslow Beach","6/21/2011",2,0,2,"NC"
"1906","Topsail Island","6/21/2011",2,5,7,"NC"
"1907","Bald Head Island","6/21/2012",2,1,3,"NC"
"1908","Cape Hatteras NS","6/21/2012",5,1,6,"NC"
"1909","Cape Lookout NS","6/21/2012",2,1,3,"NC"
"1910","Carolina Beach","6/21/2012",1,1,2,"NC"
"1911","Caswell Beach","6/21/2012",1,3,4,"NC"
"1912","Holden Beach","6/21/2012",0,1,1,"NC"
"1913","Indian Beach/Salter Path","6/21/2012",1,0,1,"NC"
"1914","Masonboro Island","6/21/2012",1,1,2,"NC"
"1915","Oak Island","6/21/2012",1,4,5,"NC"
"1916","Onslow Beach","6/21/2012",0,2,2,"NC"
"1917","Topsail Island","6/21/2012",2,1,3,"NC"
"1918","Cape Hatteras NS","6/21/2013",2,4,6,"NC"
"1919","Cape Lookout NS","6/21/2013",0,4,4,"NC"
"1920","Caswell Beach","6/21/2013",1,1,2,"NC"
"1921","Fort Fisher SRA","6/21/2013",3,0,3,"NC"
"1922","Holden Beach","6/21/2013",1,1,2,"NC"
"1923","Kure Beach","6/21/2013",1,0,1,"NC"
"1924","Masonboro Island","6/21/2013",1,0,1,"NC"
"1925","NEST (Northern Outer Banks)","6/21/2013",0,1,1,"NC"
"1926","Onslow Beach","6/21/2013",1,2,3,"NC"
"1927","Pine Knoll Shores","6/21/2013",1,0,1,"NC"
"1928","Sunset Beach plus Bird Island","6/21/2013",2,0,2,"NC"
"1929","Topsail Island","6/21/2013",0,2,2,"NC"
"1930","Wrightsville Beach","6/21/2013",0,1,1,"NC"
"1931","Bald Head Island","6/21/2014",1,0,1,"NC"
"1932","Cape Hatteras NS","6/21/2014",2,3,5,"NC"
"1933","Cape Lookout NS","6/21/2014",1,1,2,"NC"
"1934","Caswell Beach","6/21/2014",1,0,1,"NC"
"1935","Kure Beach","6/21/2014",0,1,1,"NC"
"1936","Onslow Beach","6/21/2014",1,0,1,"NC"
"1937","Bald Head Island","6/21/2015",1,8,9,"NC"
"1938","Cape Hatteras NS","6/21/2015",4,3,7,"NC"
"1939","Cape Lookout NS","6/21/2015",5,10,15,"NC"
"1940","Caswell Beach","6/21/2015",2,4,6,"NC"
"1941","Emerald Isle","6/21/2015",1,0,1,"NC"
"1942","Fort Fisher SRA","6/21/2015",1,6,7,"NC"
"1943","Fort Macon SP","6/21/2015",1,0,1,"NC"
"1944","Holden Beach","6/21/2015",0,3,3,"NC"
"1945","Indian Beach/Salter Path","6/21/2015",0,1,1,"NC"
"1946","NEST (Northern Outer Banks)","6/21/2015",1,1,2,"NC"
"1947","Oak Island","6/21/2015",4,6,10,"NC"
"1948","Ocean Isle","6/21/2015",1,0,1,"NC"
"1949","Onslow Beach","6/21/2015",1,1,2,"NC"
"1950","Bald Head Island","6/21/2016",3,1,4,"NC"
"1951","Cape Hatteras NS","6/21/2016",5,5,10,"NC"
"1952","Cape Lookout NS","6/21/2016",5,3,8,"NC"
"1953","Figure 8 Island","6/21/2016",0,1,1,"NC"
"1954","Fort Fisher SRA","6/21/2016",3,2,5,"NC"
"1955","Holden Beach","6/21/2016",0,1,1,"NC"
"1956","NEST (Northern Outer Banks)","6/21/2016",2,0,2,"NC"
"1957","Oak Island","6/21/2016",3,1,4,"NC"
"1958","Ocean Isle","6/21/2016",1,1,2,"NC"
"1959","Onslow Beach","6/21/2016",2,0,2,"NC"
"1960","Topsail Island","6/21/2016",1,3,4,"NC"
"1972","Cape Hatteras NS","6/22/2009",3,6,9,"NC"
"1973","Caswell Beach","6/22/2009",2,0,2,"NC"
"1974","Masonboro Island","6/22/2009",1,0,1,"NC"
"1975","Oak Island","6/22/2009",1,1,2,"NC"
"1976","Topsail Island","6/22/2009",1,3,4,"NC"
"1977","Bald Head Island","6/22/2010",3,2,5,"NC"
"1978","Cape Hatteras NS","6/22/2010",1,0,1,"NC"
"1979","Cape Lookout NS","6/22/2010",3,7,10,"NC"
"1980","Caswell Beach","6/22/2010",1,2,3,"NC"
"1981","Fort Fisher SRA","6/22/2010",1,1,2,"NC"
"1982","Fort Macon SP","6/22/2010",1,0,1,"NC"
"1983","Hammocks Beach SP","6/22/2010",1,0,1,"NC"
"1984","Holden Beach","6/22/2010",1,1,2,"NC"
"1985","Indian Beach/Salter Path","6/22/2010",1,0,1,"NC"
"1986","NEST (Northern Outer Banks)","6/22/2010",1,0,1,"NC"
"1987","Oak Island","6/22/2010",1,0,1,"NC"
"1988","Ocean Isle","6/22/2010",1,0,1,"NC"
"1989","Pea Island NWR","6/22/2010",0,1,1,"NC"
"1990","Pine Knoll Shores","6/22/2010",1,0,1,"NC"
"1991","Topsail Island","6/22/2010",2,2,4,"NC"
"1992","Bald Head Island","6/22/2011",2,2,4,"NC"
"1993","Cape Hatteras NS","6/22/2011",7,7,14,"NC"
"1994","Cape Lookout NS","6/22/2011",5,3,8,"NC"
"1995","Caswell Beach","6/22/2011",0,1,1,"NC"
"1996","Figure 8 Island","6/22/2011",2,0,2,"NC"
"1997","Fort Fisher SRA","6/22/2011",0,1,1,"NC"
"1998","Holden Beach","6/22/2011",0,1,1,"NC"
"1999","Masonboro Island","6/22/2011",1,3,4,"NC"
"2000","Oak Island","6/22/2011",1,1,2,"NC"
"2001","Ocean Isle","6/22/2011",0,1,1,"NC"
"2002","Onslow Beach","6/22/2011",1,0,1,"NC"
"2003","Topsail Island","6/22/2011",2,5,7,"NC"
"2004","Bald Head Island","6/22/2012",0,1,1,"NC"
"2005","Cape Hatteras NS","6/22/2012",3,0,3,"NC"
"2006","Cape Lookout NS","6/22/2012",4,0,4,"NC"
"2007","Caswell Beach","6/22/2012",1,0,1,"NC"
"2008","Fort Fisher SRA","6/22/2012",1,0,1,"NC"
"2009","Lea-Hutaff Island","6/22/2012",1,0,1,"NC"
"2010","Masonboro Island","6/22/2012",0,1,1,"NC"
"2011","Oak Island","6/22/2012",2,4,6,"NC"
"2012","Ocean Isle","6/22/2012",1,0,1,"NC"
"2013","Onslow Beach","6/22/2012",2,0,2,"NC"
"2014","Topsail Island","6/22/2012",1,0,1,"NC"
"2015","Bald Head Island","6/22/2013",2,1,3,"NC"
"2016","Cape Hatteras NS","6/22/2013",1,6,7,"NC"
"2017","Cape Lookout NS","6/22/2013",5,2,7,"NC"
"2018","Caswell Beach","6/22/2013",1,0,1,"NC"
"2019","Fort Fisher SRA","6/22/2013",2,0,2,"NC"
"2020","Holden Beach","6/22/2013",0,1,1,"NC"
"2021","NEST (Northern Outer Banks)","6/22/2013",1,0,1,"NC"
"2022","Onslow Beach","6/22/2013",1,1,2,"NC"
"2023","Topsail Island","6/22/2013",0,3,3,"NC"
"2024","Bald Head Island","6/22/2014",0,1,1,"NC"
"2025","Cape Hatteras NS","6/22/2014",1,5,6,"NC"
"2026","Cape Lookout NS","6/22/2014",2,1,3,"NC"
"2027","Caswell Beach","6/22/2014",1,0,1,"NC"
"2028","Fort Fisher SRA","6/22/2014",1,1,2,"NC"
"2029","Lea-Hutaff Island","6/22/2014",0,1,1,"NC"
"2030","Masonboro Island","6/22/2014",1,0,1,"NC"
"2031","Oak Island","6/22/2014",1,0,1,"NC"
"2032","Sunset Beach plus Bird Island","6/22/2014",0,2,2,"NC"
"2033","Topsail Island","6/22/2014",1,0,1,"NC"
"2034","Bald Head Island","6/22/2015",2,1,3,"NC"
"2035","Cape Hatteras NS","6/22/2015",5,1,6,"NC"
"2036","Cape Lookout NS","6/22/2015",8,9,17,"NC"
"2037","Caswell Beach","6/22/2015",1,5,6,"NC"
"2038","Figure 8 Island","6/22/2015",1,0,1,"NC"
"2039","Fort Fisher SRA","6/22/2015",1,9,10,"NC"
"2040","Hammocks Beach SP","6/22/2015",0,2,2,"NC"
"2041","Holden Beach","6/22/2015",1,3,4,"NC"
"2042","Lea-Hutaff Island","6/22/2015",0,1,1,"NC"
"2043","Oak Island","6/22/2015",5,3,8,"NC"
"2044","Onslow Beach","6/22/2015",2,1,3,"NC"
"2045","Pea Island NWR","6/22/2015",4,0,4,"NC"
"2046","Topsail Island","6/22/2015",0,2,2,"NC"
"2047","Bald Head Island","6/22/2016",0,2,2,"NC"
"2048","Cape Hatteras NS","6/22/2016",4,0,4,"NC"
"2049","Cape Lookout NS","6/22/2016",6,2,8,"NC"
"2050","Emerald Isle","6/22/2016",1,0,1,"NC"
"2051","Fort Fisher SRA","6/22/2016",0,2,2,"NC"
"2052","Holden Beach","6/22/2016",2,1,3,"NC"
"2053","Masonboro Island","6/22/2016",0,1,1,"NC"
"2054","Oak Island","6/22/2016",3,1,4,"NC"
"2055","Pine Knoll Shores","6/22/2016",1,0,1,"NC"
"2056","Sunset Beach plus Bird Island","6/22/2016",0,0,0,"NC"
"2057","Topsail Island","6/22/2016",4,0,4,"NC"
"2058","Wrightsville Beach","6/22/2016",1,0,1,"NC"
"2068","Bald Head Island","6/23/2009",0,2,2,"NC"
"2069","Cape Lookout NS","6/23/2009",0,2,2,"NC"
"2070","Emerald Isle","6/23/2009",1,0,1,"NC"
"2071","Holden Beach","6/23/2009",1,0,1,"NC"
"2072","Oak Island","6/23/2009",0,1,1,"NC"
"2073","Pea Island NWR","6/23/2009",0,1,1,"NC"
"2074","Topsail Island","6/23/2009",1,2,3,"NC"
"2075","Wrightsville Beach","6/23/2009",0,1,1,"NC"
"2076","Bald Head Island","6/23/2010",1,0,1,"NC"
"2077","Cape Hatteras NS","6/23/2010",3,1,4,"NC"
"2078","Cape Lookout NS","6/23/2010",4,5,9,"NC"
"2079","Holden Beach","6/23/2010",1,1,2,"NC"
"2080","Indian Beach/Salter Path","6/23/2010",1,0,1,"NC"
"2081","NEST (Northern Outer Banks)","6/23/2010",0,1,1,"NC"
"2082","Oak Island","6/23/2010",0,1,1,"NC"
"2083","Ocean Isle","6/23/2010",1,0,1,"NC"
"2084","Onslow Beach","6/23/2010",0,1,1,"NC"
"2085","Topsail Island","6/23/2010",3,1,4,"NC"
"2086","Bald Head Island","6/23/2011",0,1,1,"NC"
"2087","Cape Hatteras NS","6/23/2011",3,2,5,"NC"
"2088","Cape Lookout NS","6/23/2011",4,7,11,"NC"
"2089","Carolina Beach","6/23/2011",0,3,3,"NC"
"2090","Caswell Beach","6/23/2011",1,1,2,"NC"
"2091","Fort Fisher SRA","6/23/2011",1,3,4,"NC"
"2092","Hammocks Beach SP","6/23/2011",1,3,4,"NC"
"2093","Holden Beach","6/23/2011",1,0,1,"NC"
"2094","Masonboro Island","6/23/2011",2,0,2,"NC"
"2095","Oak Island","6/23/2011",1,3,4,"NC"
"2096","Ocean Isle","6/23/2011",1,0,1,"NC"
"2097","Onslow Beach","6/23/2011",1,5,6,"NC"
"2098","Topsail Island","6/23/2011",1,1,2,"NC"
"2099","Bald Head Island","6/23/2012",1,0,1,"NC"
"2100","Cape Hatteras NS","6/23/2012",2,0,2,"NC"
"2101","Cape Lookout NS","6/23/2012",1,3,4,"NC"
"2102","Caswell Beach","6/23/2012",0,2,2,"NC"
"2103","Fort Fisher SRA","6/23/2012",1,0,1,"NC"
"2104","Hammocks Beach SP","6/23/2012",1,0,1,"NC"
"2105","Holden Beach","6/23/2012",2,0,2,"NC"
"2106","Indian Beach/Salter Path","6/23/2012",1,0,1,"NC"
"2107","Masonboro Island","6/23/2012",0,2,2,"NC"
"2108","Oak Island","6/23/2012",3,5,8,"NC"
"2109","Onslow Beach","6/23/2012",1,1,2,"NC"
"2110","Pea Island NWR","6/23/2012",1,0,1,"NC"
"2111","Topsail Island","6/23/2012",0,1,1,"NC"
"2112","Bald Head Island","6/23/2013",0,3,3,"NC"
"2113","Cape Hatteras NS","6/23/2013",3,11,14,"NC"
"2114","Cape Lookout NS","6/23/2013",3,7,10,"NC"
"2115","Caswell Beach","6/23/2013",1,1,2,"NC"
"2116","Figure 8 Island","6/23/2013",1,0,1,"NC"
"2117","Fort Fisher SRA","6/23/2013",1,0,1,"NC"
"2118","Holden Beach","6/23/2013",2,1,3,"NC"
"2119","Oak Island","6/23/2013",2,1,3,"NC"
"2120","Onslow Beach","6/23/2013",1,2,3,"NC"
"2121","Pea Island NWR","6/23/2013",1,1,2,"NC"
"2122","Topsail Island","6/23/2013",0,4,4,"NC"
"2123","Bald Head Island","6/23/2014",1,0,1,"NC"
"2124","Cape Hatteras NS","6/23/2014",6,2,8,"NC"
"2125","Cape Lookout NS","6/23/2014",4,1,5,"NC"
"2126","Kure Beach","6/23/2014",0,1,1,"NC"
"2127","Masonboro Island","6/23/2014",1,0,1,"NC"
"2128","Ocean Isle","6/23/2014",0,1,1,"NC"
"2129","Sunset Beach plus Bird Island","6/23/2014",1,0,1,"NC"
"2130","Topsail Island","6/23/2014",2,1,3,"NC"
"2131","Bald Head Island","6/23/2015",1,0,1,"NC"
"2132","Cape Hatteras NS","6/23/2015",3,0,3,"NC"
"2133","Cape Lookout NS","6/23/2015",7,7,14,"NC"
"2134","Caswell Beach","6/23/2015",1,0,1,"NC"
"2135","Figure 8 Island","6/23/2015",2,1,3,"NC"
"2136","Fort Fisher SRA","6/23/2015",2,3,5,"NC"
"2137","Hammocks Beach SP","6/23/2015",0,1,1,"NC"
"2138","Holden Beach","6/23/2015",1,0,1,"NC"
"2139","Masonboro Island","6/23/2015",0,1,1,"NC"
"2140","NEST (Northern Outer Banks)","6/23/2015",1,0,1,"NC"
"2141","Oak Island","6/23/2015",2,7,9,"NC"
"2142","Ocean Isle","6/23/2015",0,1,1,"NC"
"2143","Onslow Beach","6/23/2015",1,1,2,"NC"
"2144","Pea Island NWR","6/23/2015",0,2,2,"NC"
"2145","Topsail Island","6/23/2015",2,1,3,"NC"
"2146","Bald Head Island","6/23/2016",1,2,3,"NC"
"2147","Cape Lookout NS","6/23/2016",6,1,7,"NC"
"2148","Emerald Isle","6/23/2016",1,0,1,"NC"
"2149","Figure 8 Island","6/23/2016",1,1,2,"NC"
"2150","Fort Fisher SRA","6/23/2016",1,0,1,"NC"
"2151","Holden Beach","6/23/2016",1,1,2,"NC"
"2152","Masonboro Island","6/23/2016",2,0,2,"NC"
"2153","Oak Island","6/23/2016",2,2,4,"NC"
"2154","Onslow Beach","6/23/2016",2,2,4,"NC"
"2155","Topsail Island","6/23/2016",2,2,4,"NC"
"2156","Wrightsville Beach","6/23/2016",1,0,1,"NC"
"2167","Bald Head Island","6/24/2009",1,0,1,"NC"
"2168","Cape Hatteras NS","6/24/2009",2,2,4,"NC"
"2169","Cape Lookout NS","6/24/2009",1,3,4,"NC"
"2170","Emerald Isle","6/24/2009",1,1,2,"NC"
"2171","Figure 8 Island","6/24/2009",1,0,1,"NC"
"2172","Oak Island","6/24/2009",0,2,2,"NC"
"2173","Topsail Island","6/24/2009",1,4,5,"NC"
"2174","Atlantic Beach","6/24/2010",1,0,1,"NC"
"2175","Cape Hatteras NS","6/24/2010",3,2,5,"NC"
"2176","Cape Lookout NS","6/24/2010",3,0,3,"NC"
"2177","Fort Fisher SRA","6/24/2010",1,0,1,"NC"
"2178","Oak Island","6/24/2010",3,1,4,"NC"
"2179","Onslow Beach","6/24/2010",1,1,2,"NC"
"2180","Topsail Island","6/24/2010",1,5,6,"NC"
"2181","Bald Head Island","6/24/2011",0,1,1,"NC"
"2182","Cape Hatteras NS","6/24/2011",2,4,6,"NC"
"2183","Cape Lookout NS","6/24/2011",1,3,4,"NC"
"2184","Caswell Beach","6/24/2011",1,0,1,"NC"
"2185","Figure 8 Island","6/24/2011",1,0,1,"NC"
"2186","Fort Fisher SRA","6/24/2011",0,2,2,"NC"
"2187","Hammocks Beach SP","6/24/2011",1,4,5,"NC"
"2188","Kure Beach","6/24/2011",1,0,1,"NC"
"2189","Oak Island","6/24/2011",2,2,4,"NC"
"2190","Onslow Beach","6/24/2011",0,7,7,"NC"
"2191","Topsail Island","6/24/2011",1,0,1,"NC"
"2192","Bald Head Island","6/24/2012",0,1,1,"NC"
"2193","Cape Hatteras NS","6/24/2012",1,6,7,"NC"
"2194","Cape Lookout NS","6/24/2012",2,2,4,"NC"
"2195","Caswell Beach","6/24/2012",1,0,1,"NC"
"2196","Holden Beach","6/24/2012",1,0,1,"NC"
"2197","Kure Beach","6/24/2012",1,0,1,"NC"
"2198","Masonboro Island","6/24/2012",1,1,2,"NC"
"2199","Oak Island","6/24/2012",2,0,2,"NC"
"2200","Ocean Isle","6/24/2012",1,0,1,"NC"
"2201","Topsail Island","6/24/2012",1,1,2,"NC"
"2202","Bald Head Island","6/24/2013",2,2,4,"NC"
"2203","Cape Hatteras NS","6/24/2013",3,3,6,"NC"
"2204","Cape Lookout NS","6/24/2013",1,1,2,"NC"
"2205","Caswell Beach","6/24/2013",1,1,2,"NC"
"2206","Fort Fisher SRA","6/24/2013",0,1,1,"NC"
"2207","Holden Beach","6/24/2013",1,0,1,"NC"
"2208","Indian Beach/Salter Path","6/24/2013",0,1,1,"NC"
"2209","Kure Beach","6/24/2013",2,0,2,"NC"
"2210","Lea-Hutaff Island","6/24/2013",0,1,1,"NC"
"2211","Oak Island","6/24/2013",1,1,2,"NC"
"2212","Onslow Beach","6/24/2013",1,0,1,"NC"
"2213","Pine Knoll Shores","6/24/2013",0,1,1,"NC"
"2214","Topsail Island","6/24/2013",1,6,7,"NC"
"2215","Bald Head Island","6/24/2014",1,0,1,"NC"
"2216","Cape Hatteras NS","6/24/2014",4,0,4,"NC"
"2217","Cape Lookout NS","6/24/2014",3,6,9,"NC"
"2218","Caswell Beach","6/24/2014",1,0,1,"NC"
"2219","Onslow Beach","6/24/2014",2,2,4,"NC"
"2220","Sunset Beach plus Bird Island","6/24/2014",1,0,1,"NC"
"2221","Topsail Island","6/24/2014",1,1,2,"NC"
"2222","Atlantic Beach","6/24/2015",1,0,1,"NC"
"2223","Bald Head Island","6/24/2015",0,1,1,"NC"
"2224","Cape Hatteras NS","6/24/2015",4,3,7,"NC"
"2225","Cape Lookout NS","6/24/2015",3,4,7,"NC"
"2226","Caswell Beach","6/24/2015",0,2,2,"NC"
"2227","Emerald Isle","6/24/2015",1,0,1,"NC"
"2228","Figure 8 Island","6/24/2015",1,0,1,"NC"
"2229","Fort Fisher SRA","6/24/2015",1,0,1,"NC"
"2230","Hammocks Beach SP","6/24/2015",1,0,1,"NC"
"2231","Holden Beach","6/24/2015",0,2,2,"NC"
"2232","Lea-Hutaff Island","6/24/2015",0,2,2,"NC"
"2233","Masonboro Island","6/24/2015",0,1,1,"NC"
"2234","Oak Island","6/24/2015",3,14,17,"NC"
"2235","Ocean Isle","6/24/2015",2,4,6,"NC"
"2236","Onslow Beach","6/24/2015",1,0,1,"NC"
"2237","Sunset Beach plus Bird Island","6/24/2015",0,1,1,"NC"
"2238","Topsail Island","6/24/2015",1,1,2,"NC"
"2239","Bald Head Island","6/24/2016",2,0,2,"NC"
"2240","Cape Hatteras NS","6/24/2016",4,4,8,"NC"
"2241","Cape Lookout NS","6/24/2016",6,6,12,"NC"
"2242","Caswell Beach","6/24/2016",1,0,1,"NC"
"2243","Emerald Isle","6/24/2016",1,1,2,"NC"
"2244","Fort Fisher SRA","6/24/2016",1,1,2,"NC"
"2245","Hammocks Beach SP","6/24/2016",1,1,2,"NC"
"2246","Masonboro Island","6/24/2016",1,0,1,"NC"
"2247","Oak Island","6/24/2016",0,2,2,"NC"
"2248","Ocean Isle","6/24/2016",0,3,3,"NC"
