"","Location","Date","Nesting","FalseCrawls","Total","state"
"113","Caswell Beach","5/19/2012",1,0,1,"NC"
"114","Holden Beach","5/19/2012",0,1,1,"NC"
"115","Oak Island","5/19/2012",0,4,4,"NC"
"116","Onslow Beach","5/19/2012",0,1,1,"NC"
"117","Cape Hatteras NS","5/19/2013",1,1,2,"NC"
"118","Cape Lookout NS","5/19/2014",0,1,1,"NC"
"119","Oak Island","5/19/2014",0,1,1,"NC"
"120","Bald Head Island","5/19/2015",0,1,1,"NC"
"121","Cape Lookout NS","5/19/2015",1,0,1,"NC"
"122","Caswell Beach","5/19/2015",0,3,3,"NC"
"123","Figure 8 Island","5/19/2015",1,0,1,"NC"
"124","Cape Hatteras NS","5/19/2016",1,1,2,"NC"
"125","Cape Lookout NS","5/19/2016",0,1,1,"NC"
"126","Topsail Island","5/19/2016",0,1,1,"NC"
"131","Topsail Island","5/20/2009",1,0,1,"NC"
"132","Bald Head Island","5/20/2011",0,1,1,"NC"
"133","Holden Beach","5/20/2011",1,0,1,"NC"
"134","Onslow Beach","5/20/2011",0,1,1,"NC"
"135","Topsail Island","5/20/2011",1,1,2,"NC"
"136","Cape Hatteras NS","5/20/2012",1,0,1,"NC"
"137","Cape Lookout NS","5/20/2012",0,3,3,"NC"
"138","Caswell Beach","5/20/2012",1,3,4,"NC"
"139","Holden Beach","5/20/2012",1,4,5,"NC"
"140","Oak Island","5/20/2012",0,9,9,"NC"
"141","Onslow Beach","5/20/2012",1,2,3,"NC"
"142","Topsail Island","5/20/2012",0,1,1,"NC"
"143","Holden Beach","5/20/2014",1,1,2,"NC"
"144","Bald Head Island","5/20/2015",1,2,3,"NC"
"145","Cape Hatteras NS","5/20/2015",0,1,1,"NC"
"146","Caswell Beach","5/20/2015",1,0,1,"NC"
"147","Figure 8 Island","5/20/2015",0,1,1,"NC"
"148","Fort Fisher SRA","5/20/2015",0,2,2,"NC"
"149","Holden Beach","5/20/2015",1,0,1,"NC"
"150","Masonboro Island","5/20/2015",1,0,1,"NC"
"151","Oak Island","5/20/2015",1,0,1,"NC"
"152","Ocean Isle","5/20/2015",0,1,1,"NC"
"153","Cape Hatteras NS","5/20/2016",1,3,4,"NC"
"154","Cape Lookout NS","5/20/2016",0,1,1,"NC"
"155","NEST (Northern Outer Banks)","5/20/2016",1,0,1,"NC"
